iter | delta_E (Ha)   | delta_rdm     | total_dets | fragment_energies
------------------------------------------------------------------------------------------
   0  |           inf |           inf |        118 | [-187.323, -219.438, -247.659]
   1  |     3.410e+02 |     9.991e-01 |        118 | [93.473, 97.281, 93.333]
   2  |     2.371e+01 |     7.811e-01 |        118 | [100.026, 80.295, 69.625]
   3  |     7.044e+00 |     4.250e-01 |        118 | [102.296, 75.286, 62.581]
   4  |     9.717e+00 |     3.851e-01 |        118 | [101.507, 65.569, 54.095]
   5  |     6.733e+00 |     4.700e-01 |        118 | [100.195, 72.302, 55.357]
   6  |     4.476e+00 |     4.358e-01 |        118 | [99.010, 68.551, 50.881]
   7  |     1.101e+01 |     3.751e-01 |        118 | [98.953, 78.095, 61.891]
   8  |     6.847e+00 |     3.198e-01 |        118 | [96.156, 71.247, 57.221]
   9  |     2.585e+00 |     6.264e-01 |        118 | [96.307, 72.619, 59.806]
  10  |     8.353e+00 |     2.592e-01 |        118 | [91.870, 80.973, 61.549]
  11  |     3.499e+00 |     4.010e-01 |        118 | [91.322, 77.473, 62.430]
  12  |     4.887e+00 |     5.350e-01 |        118 | [93.597, 82.360, 64.887]
  13  |     2.925e+00 |     4.408e-01 |        118 | [90.950, 85.286, 64.440]
  14  |     5.761e+00 |     3.653e-01 |        118 | [88.104, 79.525, 61.553]
  15  |     3.009e+00 |     4.522e-01 |        118 | [87.703, 76.886, 58.544]
  16  |     4.517e+00 |     7.590e-01 |        118 | [91.684, 80.240, 63.061]
  17  |     6.720e+00 |     2.979e-01 |        118 | [86.826, 84.254, 56.341]
  18  |     1.984e+00 |     4.154e-01 |        118 | [88.810, 83.744, 56.172]
  19  |     4.025e+00 |     3.944e-01 |        118 | [87.879, 79.719, 55.534]
  20  |     2.371e+00 |     3.299e-01 |        118 | [89.455, 82.090, 55.260]
