iter | delta_E (Ha)   | delta_rdm     | total_dets | fragment_energies
------------------------------------------------------------------------------------------
   0  |           inf |           inf |        118 | [-187.752, -219.738, -247.659]
   1  |     3.467e+02 |     9.890e-01 |        118 | [89.724, 124.968, 99.072]
   2  |     2.975e+01 |     9.763e-01 |        118 | [102.279, 95.217, 75.659]
   3  |     1.814e+01 |     4.934e-01 |        118 | [104.069, 77.077, 61.748]
   4  |     5.098e+00 |     4.345e-01 |        118 | [103.743, 72.775, 56.650]
   5  |     2.589e+00 |     4.675e-01 |        118 | [104.020, 75.365, 58.544]
   6  |     5.566e+00 |     2.735e-01 |        118 | [105.376, 69.799, 54.657]
   7  |     4.996e+00 |     3.581e-01 |        118 | [103.460, 73.676, 59.653]
   8  |     4.817e+00 |     2.943e-01 |        118 | [102.425, 68.860, 59.181]
   9  |     2.147e+00 |     4.447e-01 |        118 | [102.257, 66.712, 59.111]
  10  |     1.193e+01 |     2.958e-01 |        118 | [98.450, 78.640, 70.205]
  11  |     6.951e+00 |     2.185e-01 |        118 | [99.915, 71.689, 64.805]
  12  |     4.330e+00 |     4.312e-01 |        118 | [99.157, 67.359, 64.476]
  13  |     5.608e+00 |     3.825e-01 |        118 | [96.870, 72.461, 70.084]
  14  |     2.388e+00 |     3.807e-01 |        118 | [99.169, 74.731, 67.696]
  15  |     5.231e+00 |     4.492e-01 |        118 | [100.546, 69.500, 63.359]
  16  |     4.455e+00 |     4.019e-01 |        118 | [101.111, 73.956, 64.402]
  17  |     3.183e+00 |     4.634e-01 |        118 | [99.755, 75.558, 67.584]
  18  |     1.606e+00 |     2.374e-01 |        118 | [98.923, 76.502, 69.191]
  19  |     1.843e+00 |     2.226e-01 |        118 | [100.076, 76.918, 67.348]
  20  |     1.641e+00 |     4.694e-01 |        118 | [98.957, 76.908, 68.988]
