iter | delta_E (Ha)   | delta_rdm     | total_dets | fragment_energies
------------------------------------------------------------------------------------------
   0  |           inf |           inf |        118 | [-187.402, -219.445, -247.659]
   1  |     1.743e+02 |     9.703e-01 |        118 | [-44.968, -52.527, -73.376]
   2  |     9.570e+00 |     3.458e-01 |        118 | [-41.449, -57.694, -82.945]
   3  |     5.526e+00 |     2.597e-01 |        118 | [-42.179, -60.270, -88.471]
   4  |     1.453e+00 |     4.125e-01 |        118 | [-42.600, -61.723, -89.808]
   5  |     1.708e+00 |     4.851e-01 |        118 | [-41.883, -62.437, -91.516]
   6  |     2.712e+00 |     2.210e-01 |        118 | [-41.714, -59.725, -90.799]
   7  |     9.204e-01 |     4.216e-01 |        118 | [-41.455, -58.805, -91.005]
   8  |     2.569e+00 |     3.963e-01 |        118 | [-38.885, -60.892, -91.482]
   9  |     1.091e+00 |     5.013e-01 |        118 | [-39.684, -61.983, -91.824]
  10  |     2.164e+00 |     2.604e-01 |        118 | [-40.043, -59.819, -90.122]
  11  |     2.286e+00 |     4.991e-01 |        118 | [-40.899, -61.270, -92.408]
  12  |     4.243e+00 |     2.497e-01 |        118 | [-38.051, -65.514, -92.272]
  13  |     2.550e+00 |     2.419e-01 |        118 | [-40.601, -64.236, -91.551]
  14  |     3.067e+00 |     3.334e-01 |        118 | [-41.624, -61.169, -90.132]
  15  |     1.144e+00 |     1.982e-01 |        118 | [-42.768, -62.023, -91.045]
  16  |     6.655e-01 |     4.827e-01 |        118 | [-42.633, -61.941, -90.380]
  17  |     2.515e+00 |     2.081e-01 |        118 | [-40.118, -62.568, -90.300]
  18  |     1.532e+00 |     3.627e-01 |        118 | [-40.734, -62.739, -91.832]
  19  |     3.254e+00 |     3.102e-01 |        118 | [-40.064, -60.392, -88.578]
  20  |     1.621e+00 |     3.526e-01 |        118 | [-41.592, -58.771, -88.188]
