iter | delta_E (Ha)   | delta_rdm     | total_dets | fragment_energies
------------------------------------------------------------------------------------------
   0  |          inf |          inf |      118 | [-187.716, -219.443, -247.659]
   1  |    1.578e+02 |    1.778e-01 |      118 | [-47.426, -61.595, -94.372]
   2  |    3.137e-01 |    1.619e-01 |      118 | [-47.112, -61.402, -94.206]
   3  |    7.137e-01 |    1.423e-01 |      118 | [-46.398, -61.728, -94.269]
   4  |    5.640e-01 |    1.298e-01 |      118 | [-46.301, -61.164, -93.982]
   5  |    3.110e-01 |    9.659e-02 |      118 | [-45.990, -60.970, -93.920]
   6  |    4.921e-01 |    1.146e-01 |      118 | [-45.498, -61.132, -93.853]
   7  |    5.063e-01 |    9.970e-02 |      118 | [-44.992, -61.365, -93.960]
   8  |    5.376e-01 |    8.781e-02 |      118 | [-44.525, -61.539, -93.423]
   9  |    5.793e-01 |    8.156e-02 |      118 | [-44.680, -60.960, -93.222]
  10  |    3.070e-01 |    1.168e-01 |      118 | [-44.373, -60.946, -93.067]
  11  |    1.575e-01 |    4.719e-02 |      118 | [-44.215, -61.087, -92.987]
  12  |    1.728e-01 |    9.905e-02 |      118 | [-44.153, -60.933, -93.160]
  13  |    3.214e-01 |    9.131e-02 |      118 | [-44.475, -60.777, -93.428]
  14  |    2.589e-01 |    9.254e-02 |      118 | [-44.733, -60.675, -93.504]
  15  |    2.473e-01 |    5.866e-02 |      118 | [-44.486, -60.725, -93.610]
  16  |    3.344e-01 |    8.984e-02 |      118 | [-44.399, -60.567, -93.944]
  17  |    6.461e-01 |    8.686e-02 |      118 | [-44.295, -60.276, -93.298]
  18  |    4.042e-01 |    7.712e-02 |      118 | [-44.700, -60.192, -93.391]
  19  |    2.628e-01 |    6.998e-02 |      118 | [-44.962, -60.093, -93.468]
  20  |    3.128e-01 |    8.439e-02 |      118 | [-44.924, -60.045, -93.781]
  21  |    5.250e-01 |    6.007e-02 |      118 | [-45.291, -59.520, -93.615]
  22  |    8.123e-02 |    8.359e-02 |      118 | [-45.210, -59.594, -93.665]
  23  |    3.143e-01 |    7.355e-02 |      118 | [-45.154, -59.280, -93.405]
  24  |    4.043e-01 |    7.982e-02 |      118 | [-45.471, -58.995, -93.001]
  25  |    1.494e-01 |    8.016e-02 |      118 | [-45.386, -59.145, -92.943]
  26  |    2.585e-01 |    8.474e-02 |      118 | [-45.128, -59.243, -92.909]
  27  |    2.880e-01 |    6.479e-02 |      118 | [-45.211, -58.955, -92.672]
  28  |    1.797e-01 |    8.071e-02 |      118 | [-45.031, -59.103, -92.637]
  29  |    8.015e-01 |    6.934e-02 |      118 | [-44.230, -59.556, -92.495]
  30  |    2.300e-01 |    7.613e-02 |      118 | [-44.369, -59.585, -92.725]
  31  |    3.151e-01 |    6.752e-02 |      118 | [-44.497, -59.269, -92.509]
  32  |    1.764e-01 |    7.927e-02 |      118 | [-44.382, -59.324, -92.686]
  33  |    3.491e-01 |    5.274e-02 |      118 | [-44.643, -58.975, -92.691]
  34  |    4.784e-01 |    7.243e-02 |      118 | [-44.636, -59.014, -93.169]
  35  |    3.803e-01 |    7.976e-02 |      118 | [-44.727, -58.634, -93.101]
  36  |    7.695e-01 |    6.106e-02 |      118 | [-45.003, -57.864, -92.808]
  37  |    4.623e-01 |    6.053e-02 |      118 | [-45.090, -57.988, -93.270]
  38  |    1.941e-01 |    7.670e-02 |      118 | [-45.284, -58.153, -93.104]
  39  |    5.179e-01 |    5.114e-02 |      118 | [-45.802, -57.896, -92.872]
  40  |    3.791e-01 |    7.054e-02 |      118 | [-45.423, -58.113, -93.009]
