iter | delta_E (Ha)   | delta_rdm     | total_dets | fragment_energies
------------------------------------------------------------------------------------------
   0  |          inf |          inf |      416 | [-187.800, -219.598, -247.659]
   1  |    1.577e+02 |    1.776e-01 |      416 | [-47.117, -61.854, -94.428]
   2  |    7.106e-01 |    1.609e-01 |      416 | [-46.406, -62.338, -94.122]
   3  |    4.562e-01 |    1.444e-01 |      416 | [-45.950, -62.636, -93.973]
   4  |    2.586e-01 |    1.299e-01 |      416 | [-45.691, -62.496, -93.920]
   5  |    2.027e-01 |    1.165e-01 |      416 | [-45.488, -62.354, -93.885]
   6  |    3.930e-01 |    1.419e-01 |      416 | [-45.095, -62.174, -93.838]
   7  |    5.847e-01 |    1.276e-01 |      416 | [-45.061, -61.589, -93.467]
   8  |    2.041e-01 |    1.085e-01 |      416 | [-44.857, -61.523, -93.323]
   9  |    4.950e-01 |    8.641e-02 |      416 | [-44.801, -61.028, -92.996]
  10  |    3.932e-01 |    7.188e-02 |      416 | [-44.551, -60.634, -92.635]
  11  |    9.634e-01 |    7.651e-02 |      416 | [-44.782, -59.671, -92.742]
  12  |    6.547e-01 |    6.953e-02 |      416 | [-45.048, -59.016, -92.938]
  13  |    3.860e-01 |    6.268e-02 |      416 | [-45.198, -59.034, -93.324]
  14  |    5.044e-01 |    8.335e-02 |      416 | [-44.694, -59.261, -93.354]
  15  |    6.504e-01 |    8.406e-02 |      416 | [-44.043, -59.611, -93.165]
  16  |    4.375e-01 |    6.796e-02 |      416 | [-43.767, -59.459, -92.728]
  17  |    4.476e-01 |    6.670e-02 |      416 | [-43.857, -59.012, -92.946]
  18  |    4.378e-01 |    6.178e-02 |      416 | [-44.271, -58.574, -93.128]
  19  |    4.394e-01 |    5.088e-02 |      416 | [-44.309, -58.666, -93.568]
  20  |    3.462e-01 |    4.131e-02 |      416 | [-44.586, -58.320, -93.746]
  21  |    3.287e-01 |    5.353e-02 |      416 | [-44.451, -58.530, -94.074]
  22  |    1.687e-01 |    7.375e-02 |      416 | [-44.451, -58.699, -94.117]
  23  |    3.380e-01 |    6.184e-02 |      416 | [-44.467, -58.784, -94.455]
  24  |    3.707e-01 |    6.938e-02 |      416 | [-44.681, -58.413, -94.521]
  25  |    2.606e-01 |    4.397e-02 |      416 | [-44.721, -58.486, -94.782]
  26  |    3.865e-01 |    8.116e-02 |      416 | [-44.335, -58.769, -94.919]
  27  |    8.372e-01 |    5.480e-02 |      416 | [-44.790, -57.932, -94.709]
  28  |    1.737e-01 |    5.857e-02 |      416 | [-44.672, -58.105, -94.883]
  29  |    2.549e-01 |    7.050e-02 |      416 | [-44.814, -57.850, -94.947]
  30  |    2.745e-01 |    6.187e-02 |      416 | [-44.776, -57.616, -94.672]
  31  |    3.193e-01 |    3.906e-02 |      416 | [-44.723, -57.936, -94.721]
  32  |    2.202e-01 |    6.693e-02 |      416 | [-44.721, -58.156, -94.840]
  33  |    4.041e-01 |    7.371e-02 |      416 | [-44.316, -58.424, -94.711]
  34  |    2.852e-01 |    4.480e-02 |      416 | [-44.196, -58.709, -94.619]
  35  |    1.843e-01 |    5.556e-02 |      416 | [-44.144, -58.893, -94.794]
  36  |    2.059e-01 |    6.476e-02 |      416 | [-43.938, -59.067, -94.761]
  37  |    3.421e-01 |    6.073e-02 |      416 | [-44.064, -58.725, -94.727]
  38  |    3.635e-01 |    8.282e-02 |      416 | [-44.226, -58.362, -94.740]
  39  |    1.803e-01 |    5.385e-02 |      416 | [-44.272, -58.542, -94.774]
  40  |    2.331e-01 |    8.246e-02 |      416 | [-44.198, -58.309, -94.808]
