iter | delta_E (Ha)   | delta_rdm     | rdm_std10     | total_dets | fragment_energies
----------------------------------------------------------------------------------------------------------------
   0 |            inf |           inf |           nan |        416 | [-47.256, -62.997, -96.486]
   1 |      4.517e-01 |     1.785e-01 |           nan |        416 | [-46.804, -62.804, -96.132]
   2 |      5.888e-01 |     1.578e-01 |           nan |        416 | [-46.216, -62.995, -95.954]
   3 |      4.551e-01 |     1.415e-01 |     1.516e-02 |        416 | [-45.840, -62.821, -95.499]
   4 |      3.144e-01 |     1.202e-01 |     2.141e-02 |        416 | [-45.526, -62.610, -95.317]
   5 |      4.939e-01 |     8.677e-02 |     3.157e-02 |        416 | [-45.357, -62.116, -94.916]
   6 |      3.409e-01 |     9.828e-02 |     3.223e-02 |        416 | [-45.016, -62.101, -94.635]
   7 |      6.627e-01 |     8.899e-02 |     3.319e-02 |        416 | [-45.081, -61.439, -94.495]
   8 |      1.456e-01 |     7.994e-02 |     3.438e-02 |        416 | [-44.935, -61.356, -94.489]
   9 |      2.208e-01 |     8.105e-02 |     3.454e-02 |        416 | [-44.714, -61.277, -94.506]
  10 |      7.396e-01 |     7.644e-02 |     3.473e-02 |        416 | [-44.937, -60.538, -94.589]
  11 |      3.642e-01 |     7.532e-02 |     2.774e-02 |        416 | [-44.573, -60.740, -94.235]
  12 |      5.946e-01 |     9.077e-02 |     2.018e-02 |        416 | [-44.745, -60.145, -94.349]
  13 |      3.631e-01 |     5.829e-02 |     1.545e-02 |        416 | [-44.747, -59.782, -94.164]
  14 |      3.416e-01 |     6.798e-02 |     1.108e-02 |        416 | [-44.405, -59.831, -94.222]
  15 |      3.088e-01 |     6.079e-02 |     1.226e-02 |        416 | [-44.658, -59.792, -94.530]
  16 |      4.987e-01 |     5.557e-02 |     1.181e-02 |        416 | [-44.159, -60.033, -94.443]
  17 |      2.443e-01 |     6.817e-02 |     1.067e-02 |        416 | [-44.356, -59.892, -94.687]
  18 |      2.505e-01 |     8.428e-02 |     1.109e-02 |        416 | [-44.367, -59.882, -94.938]
  19 |      1.613e-01 |     5.803e-02 |     1.133e-02 |        416 | [-44.290, -59.832, -95.099]
  20 |      1.525e-01 |     3.807e-02 |     1.443e-02 |        416 | [-44.366, -59.869, -94.946]
  21 |      2.870e-01 |     8.011e-02 |     1.481e-02 |        416 | [-44.360, -59.864, -95.233]
  22 |      5.007e-01 |     7.403e-02 |     1.274e-02 |        416 | [-44.530, -59.363, -95.229]
  23 |      2.134e-01 |     7.218e-02 |     1.274e-02 |        416 | [-44.727, -59.288, -95.443]
  24 |      3.291e-01 |     8.211e-02 |     1.365e-02 |        416 | [-44.398, -59.487, -95.295]
  25 |      3.638e-01 |     5.193e-02 |     1.431e-02 |        416 | [-44.034, -59.765, -95.007]
  26 |      1.091e-01 |     7.497e-02 |     1.402e-02 |        416 | [-43.925, -59.844, -94.999]
  27 |      2.372e-01 |     6.371e-02 |     1.409e-02 |        416 | [-43.688, -60.043, -94.763]
  28 |      1.286e-01 |     5.837e-02 |     1.320e-02 |        416 | [-43.559, -60.093, -94.653]
  29 |      3.042e-01 |     4.928e-02 |     1.393e-02 |        416 | [-43.709, -60.068, -94.957]
  30 |      2.330e-01 |     4.918e-02 |     1.210e-02 |        416 | [-43.867, -60.017, -95.190]
  31 |      4.858e-02 |     7.817e-02 |     1.188e-02 |        416 | [-43.878, -60.025, -95.239]
  32 |      4.923e-01 |     7.740e-02 |     1.216e-02 |        416 | [-44.045, -59.533, -95.274]
  33 |      8.879e-01 |     7.811e-02 |     1.260e-02 |        416 | [-44.457, -58.645, -95.135]
  34 |      5.859e-01 |     8.593e-02 |     1.312e-02 |        416 | [-43.871, -58.874, -94.845]
  35 |      3.704e-01 |     6.727e-02 |     1.217e-02 |        416 | [-43.957, -58.649, -94.475]
  36 |      9.905e-02 |     6.308e-02 |     1.203e-02 |        416 | [-44.056, -58.722, -94.514]
  37 |      3.431e-01 |     5.556e-02 |     1.250e-02 |        416 | [-44.311, -58.378, -94.607]
  38 |      2.928e-01 |     5.732e-02 |     1.257e-02 |        416 | [-44.428, -58.509, -94.900]
  39 |      1.921e-01 |     8.538e-02 |     1.239e-02 |        416 | [-44.269, -58.701, -94.958]
  40 |      4.147e-01 |     7.052e-02 |     1.033e-02 |        416 | [-44.418, -58.286, -94.855]
  41 |      1.236e-01 |     3.400e-02 |     1.506e-02 |        416 | [-44.406, -58.162, -94.793]
  42 |      2.248e-01 |     7.753e-02 |     1.507e-02 |        416 | [-44.302, -58.307, -95.018]
  43 |      3.933e-01 |     6.370e-02 |     1.466e-02 |        416 | [-44.179, -58.236, -94.625]
  44 |      2.547e-01 |     6.808e-02 |     1.314e-02 |        416 | [-44.241, -57.981, -94.429]
  45 |      1.952e-01 |     6.649e-02 |     1.312e-02 |        416 | [-44.301, -58.160, -94.624]
  46 |      2.228e-01 |     6.386e-02 |     1.312e-02 |        416 | [-44.114, -58.382, -94.604]
  47 |      2.224e-01 |     5.567e-02 |     1.311e-02 |        416 | [-44.004, -58.605, -94.690]
  48 |      2.435e-01 |     5.327e-02 |     1.338e-02 |        416 | [-43.760, -58.812, -94.569]
  49 |      2.156e-01 |     6.504e-02 |     1.134e-02 |        416 | [-43.973, -58.923, -94.784]
  50 |      2.971e-01 |     6.227e-02 |     1.097e-02 |        416 | [-44.043, -59.028, -95.081]
  51 |      2.518e-01 |     6.882e-02 |     6.447e-03 |        416 | [-43.949, -58.776, -94.877]
  52 |      3.459e-01 |     6.717e-02 |     4.916e-03 |        416 | [-43.830, -59.035, -94.531]
  53 |      3.424e-01 |     4.273e-02 |     7.915e-03 |        416 | [-43.969, -58.693, -94.480]
  54 |      3.041e-01 |     7.310e-02 |     8.466e-03 |        416 | [-44.121, -58.769, -94.784]
  55 |      2.398e-01 |     4.927e-02 |     9.075e-03 |        416 | [-44.111, -58.896, -95.024]
  56 |      1.669e-01 |     6.714e-02 |     9.261e-03 |        416 | [-43.944, -59.007, -94.868]
  57 |      2.862e-01 |     7.254e-02 |     9.761e-03 |        416 | [-43.670, -59.293, -94.690]
  58 |      3.610e-01 |     7.800e-02 |     1.032e-02 |        416 | [-43.659, -58.932, -94.464]
  59 |      3.670e-01 |     6.542e-02 |     1.032e-02 |        416 | [-43.389, -58.844, -94.097]
  60 |      3.368e-01 |     5.982e-02 |     1.040e-02 |        416 | [-43.616, -58.507, -94.074]
