iter | delta_E (Ha)   | delta_rdm     | rdm_std10     | total_dets | fragment_energies
----------------------------------------------------------------------------------------------------------------
   0 |            inf |           inf |           nan |        416 | [-47.274, -62.992, -96.486]
   1 |      6.150e-01 |     1.770e-01 |           nan |        416 | [-46.659, -62.952, -96.018]
   2 |      3.759e-01 |     1.588e-01 |           nan |        416 | [-46.283, -62.828, -95.652]
   3 |      3.781e-01 |     1.410e-01 |     1.469e-02 |        416 | [-45.905, -62.713, -95.293]
   4 |      5.261e-01 |     1.255e-01 |     1.928e-02 |        416 | [-45.714, -62.187, -94.828]
   5 |      4.636e-01 |     1.107e-01 |     2.349e-02 |        416 | [-45.576, -61.723, -94.472]
   6 |      4.636e-01 |     8.151e-02 |     3.128e-02 |        416 | [-45.513, -61.260, -94.178]
   7 |      1.658e-01 |     7.048e-02 |     3.618e-02 |        416 | [-45.353, -61.094, -94.039]
   8 |      3.891e-01 |     5.820e-02 |     4.016e-02 |        416 | [-45.265, -60.705, -93.967]
   9 |      3.584e-01 |     4.246e-02 |     4.426e-02 |        416 | [-45.294, -60.346, -94.008]
  10 |      1.823e-01 |     3.876e-02 |     4.676e-02 |        416 | [-45.222, -60.164, -94.152]
  11 |      1.658e-01 |     4.015e-02 |     4.214e-02 |        416 | [-45.120, -60.049, -94.317]
  12 |      1.545e-01 |     3.873e-02 |     3.665e-02 |        416 | [-45.072, -59.895, -94.165]
  13 |      1.638e-01 |     3.846e-02 |     3.051e-02 |        416 | [-45.049, -59.806, -94.328]
  14 |      1.595e-01 |     4.000e-02 |     2.335e-02 |        416 | [-45.005, -59.646, -94.429]
  15 |      9.869e-02 |     2.347e-02 |     1.657e-02 |        416 | [-44.907, -59.636, -94.384]
  16 |      1.379e-01 |     3.170e-02 |     1.250e-02 |        416 | [-44.938, -59.498, -94.447]
  17 |      2.724e-01 |     4.016e-02 |     8.237e-03 |        416 | [-45.050, -59.226, -94.537]
  18 |      2.600e-01 |     4.372e-02 |     5.633e-03 |        416 | [-44.955, -58.966, -94.533]
  19 |      2.101e-01 |     5.756e-02 |     8.151e-03 |        416 | [-44.924, -58.756, -94.332]
  20 |      1.523e-01 |     3.185e-02 |     8.452e-03 |        416 | [-44.772, -58.636, -94.240]
  21 |      1.429e-01 |     3.097e-02 |     8.725e-03 |        416 | [-44.860, -58.513, -94.382]
  22 |      9.045e-02 |     2.922e-02 |     9.069e-03 |        416 | [-44.769, -58.517, -94.355]
  23 |      9.118e-02 |     1.948e-02 |     1.039e-02 |        416 | [-44.678, -58.481, -94.306]
  24 |      1.015e-01 |     2.706e-02 |     1.047e-02 |        416 | [-44.663, -58.549, -94.407]
  25 |      8.838e-02 |     2.451e-02 |     1.038e-02 |        416 | [-44.587, -58.615, -94.496]
  26 |      8.844e-02 |     2.602e-02 |     1.062e-02 |        416 | [-44.542, -58.704, -94.571]
  27 |      6.846e-02 |     3.966e-02 |     1.059e-02 |        416 | [-44.492, -58.745, -94.640]
  28 |      2.654e-01 |     3.360e-02 |     9.982e-03 |        416 | [-44.227, -58.906, -94.388]
  29 |      1.449e-01 |     2.149e-02 |     5.684e-03 |        416 | [-44.168, -59.051, -94.467]
  30 |      9.730e-02 |     2.782e-02 |     5.565e-03 |        416 | [-44.071, -59.120, -94.480]
  31 |      3.001e-02 |     1.874e-02 |     6.093e-03 |        416 | [-44.101, -59.112, -94.485]
  32 |      1.048e-01 |     3.537e-02 |     6.600e-03 |        416 | [-43.996, -59.167, -94.579]
  33 |      2.060e-01 |     3.357e-02 |     6.259e-03 |        416 | [-44.106, -58.961, -94.524]
  34 |      1.282e-01 |     2.783e-02 |     6.242e-03 |        416 | [-44.194, -58.887, -94.652]
  35 |      1.065e-01 |     2.422e-02 |     6.263e-03 |        416 | [-44.114, -58.993, -94.708]
